Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Power,Seats,New_Price,Price,Engine,Model,Brand,Mileage_Unit,Mileage_Clean
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,149.92,5.0,2364000.0,8.85,2.0,Hyundai Elantra,Hyundai,kmpl,14.62
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,138.03,5.0,2287500.0,10.11,1.8,Toyota Corolla,Toyota,kmpl,14.28
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,112.2,5.0,2270500.0,4.25,2.0,Hyundai Elantra,Hyundai,kmpl,14.9
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,163.7,7.0,1864000.0,10.95,2.7,Toyota Innova,Toyota,kmpl,11.25
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,71.0,5.0,823000.0,3.85,1.1,Hyundai Xcent,Hyundai,kmpl,24.4
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,105.0,6.0,1155000.0,5.5,2.5,Mahindra Thar,Mahindra,kmpl,16.55
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,174.33,5.0,5300500.0,21.43,2.0,Audi A4,Audi,kmpl,17.11
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,74.0,5.0,807000.0,4.25,1.2,Maruti Swift,Maruti,kmpl,22.9
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,75.0,5.0,807000.0,3.3,1.2,Maruti Swift,Maruti,kmpl,17.8
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,74.0,5.0,844000.0,3.85,1.2,Maruti Swift,Maruti,kmpl,28.4
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,82.0,5.0,818000.0,3.6,1.2,Hyundai Grand,Hyundai,kmpl,18.9
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,103.2,5.0,1163500.0,3.99,1.6,Volkswagen Vento,Volkswagen,kmpl,15.04
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,53.3,5.0,436500.0,3.3,0.8,Renault KWID,Renault,kmpl,25.17
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,78.9,5.0,974000.0,2.07,1.2,Hyundai i10,Hyundai,kmpl,20.36
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,147.6,5.0,1133000.0,7.75,2.0,Nissan X-Trail,Nissan,km/kg,9.49
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,67.1,5.0,792000.0,2.25,1.0,Maruti Zen,Maruti,kmpl,18.2
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,147.8,8.0,1934000.0,16.5,2.4,Toyota Innova,Toyota,kmpl,13.68
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,68.0,5.0,765000.0,2.75,1.4,Ford Figo,Ford,kmpl,20.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,186.0,5.0,4949000.0,26.7,1.8,Mercedes-Benz New,Mercedes-Benz,kmpl,11.74
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,170.0,5.0,4949000.0,10.0,2.1,Mercedes-Benz New,Mercedes-Benz,kmpl,15.8
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,69.0,5.0,777000.0,2.5,1.4,Tata Indica,Tata,kmpl,25.0
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,140.0,5.0,5314000.0,13.5,2.0,Audi A4,Audi,kmpl,16.55
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,78.0,5.0,1268000.0,1.85,1.5,Honda City,Honda,kmpl,16.4
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,194.0,5.0,4914000.0,35.67,1.9,Mercedes-Benz C-Class,Mercedes-Benz,kmpl,0.0
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,88.5,7.0,1127000.0,8.15,1.2,Maruti Ertiga,Maruti,kmpl,24.52
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,88.7,5.0,1181000.0,10.5,1.4,Hyundai Creta,Hyundai,kmpl,22.1
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,500.0,5.0,13600000.000000002,14.5,4.8,Porsche Cayenne,Porsche,kmpl,8.5
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,140.0,7.0,1639999.9999999998,9.65,2.2,Mahindra XUV500,Mahindra,kmpl,15.1
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,78.9,5.0,974000.0,3.48,1.2,Hyundai i10,Hyundai,kmpl,16.95
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,108.5,5.0,1664999.9999999998,6.92,1.5,Nissan Terrano,Nissan,kmpl,19.64
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,86.8,5.0,663000.0,6.46,1.2,Honda Brio,Honda,kmpl,16.5
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,187.74,5.0,6324000.0,29.5,2.0,Audi A6,Audi,kmpl,18.53
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,132.0,8.0,2354000.0,4.5,2.0,Toyota Innova,Toyota,kmpl,12.4
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,102.0,7.0,2354000.0,11.75,2.5,Toyota Innova,Toyota,kmpl,12.8
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,74.0,5.0,792000.0,3.75,1.2,Maruti Swift,Maruti,kmpl,22.9
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,88.7,5.0,667000.0,4.5,1.2,Tata Zest,Tata,kmpl,17.57
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,86.7,5.0,785500.0,4.82,1.2,Honda Amaze,Honda,kmpl,18.0
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,68.0,5.0,765000.0,2.8,1.4,Ford Figo,Ford,kmpl,20.0
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,73.94,5.0,792000.0,3.11,1.2,Maruti Ritz,Maruti,kmpl,23.2
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,117.3,5.0,1268000.0,3.25,1.5,Honda City,Honda,kmpl,17.8
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,218.0,5.0,6371000.0,13.9,2.0,BMW 5,BMW,kmpl,16.73
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,78.9,5.0,974000.0,2.25,1.2,Hyundai i10,Hyundai,kmpl,20.36
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,82.0,5.0,746000.0,5.75,1.2,Hyundai Grand,Hyundai,kmpl,18.9
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,86.7,5.0,785500.0,5.0,1.2,Honda Amaze,Honda,kmpl,17.8
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,168.5,7.0,3717000.0,16.5,3.0,Toyota Fortuner,Toyota,kmpl,13.0
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,174.33,5.0,6324000.0,39.58,2.0,Audi A6,Audi,kmpl,17.68
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,89.84,5.0,1212000.0,5.5,1.5,Ford Ecosport,Ford,kmpl,22.7
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,140.0,7.0,1639999.9999999998,8.1,2.2,Mahindra XUV500,Mahindra,kmpl,15.1
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,98.6,5.0,909000.0,3.5,1.5,Honda Amaze,Honda,kmpl,25.8
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,73.9,5.0,1126000.0,2.79,1.2,Volkswagen Polo,Volkswagen,kmpl,22.07
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,110.0,5.0,1392000.0,3.45,1.5,Hyundai Verna,Hyundai,kmpl,16.2
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,67.1,5.0,568000.0,4.45,1.0,Maruti Wagon,Maruti,kmpl,18.9
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,103.5,5.0,1126000.0,2.65,1.6,Volkswagen Polo,Volkswagen,kmpl,15.26
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,90.0,5.0,974000.0,3.8,1.4,Hyundai i20,Hyundai,kmpl,23.0
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,82.85,5.0,974000.0,4.65,1.2,Hyundai i20,Hyundai,kmpl,18.5
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,67.0,7.0,645000.0,3.95,1.2,Datsun GO,Datsun,kmpl,19.83
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,241.4,5.0,5314000.0,9.8,3.0,Audi A4,Audi,kmpl,14.94
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,80.0,5.0,974000.0,2.7,1.2,Hyundai i20,Hyundai,kmpl,17.0
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,35.0,5.0,792000.0,2.41,0.8,Maruti Omni,Maruti,kmpl,14.0
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,78.9,5.0,641000.0,3.9,1.2,Toyota Etios,Toyota,kmpl,17.71
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,270.9,5.0,7264000.0,24.0,3.0,Jaguar XF,Jaguar,kmpl,14.74
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,140.0,7.0,1639999.9999999998,5.75,2.2,Mahindra XUV500,Mahindra,kmpl,16.0
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,126.32,5.0,1392000.0,5.25,1.6,Hyundai Verna,Hyundai,kmpl,22.32
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,171.5,7.0,2700000.0,19.25,2.8,Toyota Innova,Toyota,kmpl,11.36
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,73.0,5.0,513000.0,3.91,1.2,Maruti Eeco,Maruti,kmpl,15.1
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,37.5,4.0,777000.0,2.15,0.6,Tata Nano,Tata,kmpl,25.4
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,190.0,5.0,5443000.0,20.75,2.0,BMW 3,BMW,kmpl,22.69
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,130.0,5.0,1185000.0,3.35,1.8,Honda Civic,Honda,kmpl,13.5
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,100.6,7.0,2354000.0,11.11,2.5,Toyota Innova,Toyota,kmpl,12.99
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,150.0,5.0,3790000.0,20.0,2.0,Volvo V40,Volvo,kmpl,23.3
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,75.94,5.0,951000.0,6.55,1.2,Nissan Micra,Nissan,kmpl,19.15
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,215.0,5.0,7043000.000000001,7.0,2.5,BMW 5,BMW,kmpl,10.8
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,88.5,5.0,996000.0000000001,7.5,1.2,Maruti Vitara,Maruti,kmpl,24.3
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,107.3,5.0,4949000.0,16.75,2.1,Mercedes-Benz B,Mercedes-Benz,kmpl,15.0
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,126.2,5.0,1444000.0,10.95,1.6,Hyundai Verna,Hyundai,kmpl,22.0
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,67.1,5.0,504000.0,2.45,1.0,Maruti Wagon,Maruti,kmpl,18.9
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,37.48,4.0,777000.0,3.23,0.6,Tata Nano,Tata,kmpl,21.9
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,120.0,8.0,1639999.9999999998,7.75,2.2,Mahindra Scorpio,Mahindra,kmpl,12.05
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,178.0,5.0,4949000.0,9.35,1.8,Mercedes-Benz New,Mercedes-Benz,kmpl,11.7
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,152.0,5.0,3351000.0,5.25,2.4,Honda CR-V,Honda,kmpl,10.8
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,103.2,5.0,1426000.0,7.25,1.5,Volkswagen Vento,Volkswagen,kmpl,21.21
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,91.1,5.0,1111000.0,7.47,1.4,Maruti Ciaz,Maruti,kmpl,20.73
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,140.0,7.0,1639999.9999999998,13.25,2.2,Mahindra XUV500,Mahindra,kmpl,16.0
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,85.8,5.0,792000.0,5.81,1.2,Maruti Ritz,Maruti,kmpl,21.1
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,67.1,5.0,453000.0,2.6,1.0,Maruti Alto,Maruti,kmpl,24.07
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,362.07,2.0,9504000.0,54.0,3.0,Mercedes-Benz SLC,Mercedes-Benz,kmpl,19.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,121.3,5.0,1349000.0,11.5,1.6,Hyundai Verna,Hyundai,kmpl,17.0
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,46.3,5.0,448000.00000000006,1.6,0.8,Maruti Alto,Maruti,kmpl,19.7
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,143.0,5.0,5655000.0,17.22,2.0,BMW 1,BMW,kmpl,20.58
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,88.7,5.0,885000.0,6.0,1.2,Honda Jazz,Honda,kmpl,19.0
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,130.0,5.0,1185000.0,3.95,1.8,Honda Civic,Honda,kmpl,13.5
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,170.0,5.0,4949000.0,17.95,2.1,Mercedes-Benz New,Mercedes-Benz,kmpl,19.27
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,98.6,5.0,853999.9999999999,3.7,1.5,Honda Amaze,Honda,kmpl,25.8
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,81.8,5.0,727000.0,5.43,1.2,Maruti Swift,Maruti,kmpl,22.0
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,171.0,7.0,3717000.0,13.49,3.0,Toyota Fortuner,Toyota,kmpl,11.5
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,76.8,5.0,1147000.0,2.85,1.2,Chevrolet Beat,Chevrolet,kmpl,18.6
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,103.52,5.0,1478000.0,4.75,1.5,Skoda Rapid,Skoda,kmpl,21.14
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,91.1,5.0,1111000.0,9.9,1.4,Maruti Ciaz,Maruti,kmpl,20.73
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,444.0,4.0,12800000.0,37.0,2.9,Audi RS5,Audi,kmpl,11.05
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,190.0,5.0,6088000.0,26.5,2.0,BMW 3,BMW,kmpl,21.76
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,174.33,5.0,5300500.0,23.32,2.0,Audi A4,Audi,kmpl,17.11
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,74.0,5.0,727000.0,6.25,1.2,Maruti Swift,Maruti,kmpl,22.9
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,362.9,5.0,4949000.0,30.0,5.5,Mercedes-Benz S,Mercedes-Benz,kmpl,7.81
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,103.52,5.0,1478000.0,9.86,1.5,Skoda Rapid,Skoda,kmpl,21.66
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,138.1,5.0,3694000.0,8.5,2.0,Skoda Superb,Skoda,kmpl,17.2
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,55.2,5.0,974000.0,4.23,0.8,Hyundai EON,Hyundai,kmpl,21.1
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,73.9,5.0,1126000.0,3.5,1.2,Volkswagen Polo,Volkswagen,kmpl,22.07
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,67.06,5.0,645000.0,2.5,1.2,Datsun GO,Datsun,kmpl,20.63
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,86.8,5.0,663000.0,2.39,1.2,Honda Brio,Honda,kmpl,19.4
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,120.7,5.0,4949000.0,11.25,1.6,Mercedes-Benz B,Mercedes-Benz,kmpl,14.8
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,98.6,5.0,1529000.0,7.11,1.5,Honda City,Honda,kmpl,26.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,100.6,7.0,2354000.0,10.9,2.5,Toyota Innova,Toyota,kmpl,12.99
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,81.8,5.0,792000.0,6.2,1.2,Maruti Swift,Maruti,kmpl,20.4
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,140.0,7.0,1639999.9999999998,7.9,2.2,Mahindra XUV500,Mahindra,kmpl,15.1
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,89.84,5.0,1212000.0,4.42,1.5,Ford Ecosport,Ford,kmpl,22.7
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,168.5,7.0,3717000.0,13.5,3.0,Toyota Fortuner,Toyota,kmpl,13.0
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,108.5,5.0,1426000.0,6.25,1.5,Volkswagen Vento,Volkswagen,kmpl,21.5
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,68.0,5.0,765000.0,2.1,1.4,Ford Figo,Ford,kmpl,20.0
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,258.0,5.0,5655000.0,45.0,3.0,BMW X5,BMW,kmpl,15.3
